id,common_name,category,symptom_description,likely_cause,trigger_conditions,disambiguation_notes,soil_related,recommended_action,confidence_source,region_notes,notes_conflicts
FAW,Fall Armyworm (FAW),insect_pest,"First-instar larvae produce clusters of pinhole-type damage or small, round 'window panes' (transparent patches) on soft leaf tissues. Larger larvae make ragged, irregular elongated holes on leaves. Whorls show heavy feeding damage, with large amounts of moist, sawdust-like excreta (frass). Larvae can cut seedlings at base (similar to cutworms) and burrow into the whorl, growing point, and maize cobs, destroying seeds.",Spodoptera frugiperda,"Moths are active at night during warm, humid evenings. Larvae develop between 11°C and 30°C. Rainfall can wash off young larvae, reducing populations.","Larvae feel rough due to tiny spines on body. Head has a distinct, pale, upside-down Y-shaped mark (which cotton bollworm may also have but head is usually paler). Body has four raised spots in a square/trapezium on the eighth segment. Whorl damage is larger and leaves more frass than stem borers.",FALSE,"Monitoring and scouting (action threshold: 20% infestation in early whorl, 40% in late whorl). Hand-picking of caterpillars/eggs. Intercropping with legumes (beans, pigeon peas) or push-pull technology (intercrop with Desmodium and plant Napier grass as trap crop). Biological control with predators (ladybirds, hover flies) and parasites. Sprays of approved insecticides (e.g. Coragen 20SC, Prove 1.92EC, Match 50EC, Voliam Targo 063SC). Spray early morning/late evening, targeting top leaves and whorl.","FAO/CABI FAW Pocket Guide p. 4, 5, 8, 25; FAO FAW Manual p. 5, 6, 9",Kenya-wide.,
SB,Maize Stem Borer / African Stalk Borer,insect_pest,"Caterpillars feed on young plants causing 'dead hearts' (wilting and drying of the central leaf). They later burrow into stems, making tunnels that disrupt water and nutrient flow, leading to stunting, broken stalks, or lodging.",Busseola fusca,Aggravated by continuous maize cropping and crop residues on soil surface.,"FAW larvae feed primarily on leaves in whorl leaving massive frass before cob tunneling, whereas stem borers quickly tunnel into the stem. Stem borer caterpillars do not have the prominent Y-mark or rough skin spines of FAW.",FALSE,"Intercrop with non-host crops or green leaf desmodium. Plant trap crops (e.g., Napier grass) around the plot. Use biological control (predators and parasites). Apply recommended insecticides in whorl.","KALRO Disease Guide p. 9, 30; FAO/CABI FAW Pocket Guide p. 7; KCEP-CRAL Maize Extension Manual p. 10","Western Region (Bungoma, Kakamega, Nandi, Trans Nzoia, Nakuru).",
SSB,Spotted Stem Borer,insect_pest,"Larvae feed on leaves causing pinhole damage and then tunnel into the stem, leading to dead hearts or stem breakage.",Chilo partellus,"Prevalent in warm, moist mid-altitude zones.","Chilo partellus larvae are spotted, distinguishing them from the plain grey/pink larvae of Busseola fusca.",FALSE,"Intercrop with legumes or non-host crops, clean tillage, and use approved chemical insecticides.",FAO/CABI FAW Pocket Guide p. 7,,
LH,Maize Leafhoppers,insect_pest,"Slender, pale green to yellow hoppers with two small black spots between the eyes that hop away when disturbed. Feed on plant sap, causing chlorosis and transmitting Maize Streak Virus.",Cicadulina mbila,Favored by dry weather and proximity to grasslands or previously irrigated grass crops.,"Hopper feeding causes minor direct damage, but they are primary vectors of Corn Streak Virus.",FALSE,"Plant early in the season, keep fields free from grass weeds, remove residues of cereal crops, and catch them with sticky green/yellow traps.",KALRO Disease Guide p. 27; KCEP-CRAL Maize Extension Manual p. 10,,
MA,Maize Aphid,insect_pest,"Small, soft-bodied blue-green insects colonizing the tassels and upper leaves. Feeding removes moisture and nutrients. Secretes sticky honeydew that covers leaves and tassels, leading to growth of sooty black mold. Leaves show yellow mottling, stunted growth, and dieback.",Rhopalosiphum maidis,Prevalent during dry periods. Soft-bodied insects multiply rapidly under warm conditions.,"Colonies are found clustered inside the central leaf whorl or on tassels, producing honeydew.",FALSE,"Use mixed cropping, plant trap crops, encourage natural predators like ladybirds and hover flies, and spray with recommended insecticides in severe infestations.",KALRO Disease Guide p. 31; KCEP-CRAL Maize Extension Manual p. 10,,
CB,Cotton Bollworm / African Bollworm,insect_pest,"Larvae feed on leaves, buds, growing points, flowers, and kernels. Reduces leaf area and slows plant growth; main damage is caused by feeding on flowers and kernels inside the cob.",Helicoverpa armigera,Polyphagous pest that damages many crops. High populations are favored by warm weather.,"Bollworm caterpillars feel rough due to tiny spines, but their head is usually paler than FAW, and the Y-shaped mark is same color as head.",FALSE,"Intercrop maize with other crops, and spray with approved insecticides during heavy infestations.",KALRO Disease Guide p. 30; FAO/CABI FAW Pocket Guide p. 6; KCEP-CRAL Maize Extension Manual p. 10,"OTHER MAIZE PESTS & DISEASES Topic Six: Factors affecting maize production in Kenya, Learning Objective: To gain knowl edge on other abiotic factors that contributes to MLND expression in maize field, Procedure: Lecture, slide shows Duration: 1 hr a) Field Pests Insect pests severely limit the production of maize, one of the most important cereal crops worldwide.",
CW,Cutworms,insect_pest,"Soil-dwelling caterpillars that attack young seedlings. They cut off the plant stem at or just below ground level, causing the seedling to collapse and dry up.",Agrotis spp.,Common in soils with high organic residue or after weedy fallows.,"Cutworms cut plants cleanly at ground level and hide in the soil, unlike FAW which feeds primarily in the leaf whorl (though FAW can sometimes cut seedlings).",FALSE,"Seed dressing with approved chemicals, and spreading baits on the ground around seedlings.",KALRO Disease Guide p. 9; FAO FAW Manual p. 24; KCEP-CRAL Maize Extension Manual p. 11,9 g) Constraints in Maize farming in Kenya Maize is a very i mportant food security crop as well as cash crop for majority of farmers.,
WG,White Grubs / Chaffer Grubs / Larvae of Scarab Beetles,insect_pest,"Larvae are white, slightly longer than an inch when fully grown, and curl into a 'C' shape. They eat plant roots, causing severe wilting where center leaves of young plants die. Can cause stunting or plant death.",Scarabaeidae,Grubs have a 3-year life cycle. They can acquire MCMV from plant debris on soil surfaces and transmit it to young maize plants.,Root feeding and C-shaped grub body distinguish this soil pest from foliar caterpillars.,FALSE,"Tillage to expose grubs to birds, and application of approved soil insecticides.",KALRO Disease Guide p. 30,"OTHER MAIZE PESTS & DISEASES Topic Six: Factors affecting maize production in Kenya, Learning Objective: To gain knowl edge on other abiotic factors that contributes to MLND expression in maize field, Procedure: Lecture, slide shows Duration: 1 hr a) Field Pests Insect pests severely limit the production of maize, one of the most important cereal crops worldwide.",
TH,Maize Thrips,insect_pest,"Minute, elongate, yellow-orange insects that feed deep in whorls, leaf sheaths, and lower leaf surfaces. Rasp leaf tissue and suck sap, creating a silvery cast on leaves and ear husks. Leaves distort, turn brown around edges, and cup upwards.",Frankliniella williamsi,Feeding is only an economic problem on young seedlings (less than one foot tall) and at ear formation. Mechanical damage at ear formation provides entry for Fusarium ear rot.,Minute size and silvery cast on leaves distinguish thrips from aphids or mites.,FALSE,"Spraying with approved insecticides, and maintaining plant vigor. Thrips are vectors that transmit MCMV.",KALRO Disease Guide p. 31,,
SAW,Southern Armyworm,insect_pest,"Caterpillars feed on foliage and cobs, causing defoliation.",Spodoptera eridania,Warm and humid climates.,Illustrated in pocket guide to distinguish from FAW (marked with ✘ as a lookalike).,FALSE,"Hand picking, application of chemical sprays if populations are high.",FAO/CABI FAW Pocket Guide p. 6,,
BAW,Beet Armyworm,insect_pest,"Larvae feed on leaves, creating small holes or skeletonizing them.",Spodoptera exigua,Favored by warm weather.,"Beet armyworm larvae are smaller and green/black, lacking the prominent head Y-mark of FAW.",FALSE,"Chemical sprays, promoting natural enemies.",FAO/CABI FAW Pocket Guide p. 6,,
AAW,African Armyworm,insect_pest,"Larvae appear in massive numbers (outbreaks) and rapidly defoliate whole fields, eating leaves down to the midrib.",Spodoptera exempta,Outbreaks often follow dry spells followed by heavy rains.,"African armyworm has a distinct black body with yellow stripes, and attacks in massive migrating populations (marching), whereas FAW is more solitary in whorls.",FALSE,"Monitoring outbreaks, spraying with recommended chemical insecticides.",FAO/CABI FAW Pocket Guide p. 7,,
ACW,African Cotton Leafworm,insect_pest,Caterpillars feed on leaves and young shoots.,Spodoptera littoralis,"Warm, humid environments.",Illustrated as a lookalike to FAW (marked with ✘ in pocket guide).,FALSE,Approved chemical sprays.,FAO/CABI FAW Pocket Guide p. 7,,
LGB,Larger Grain Borer (LGB),insect_pest,"A beetle-like insect that attacks maize on the cob, both before and after harvest. Adults bore into maize husks and cobs, producing large quantities of grain dust as they tunnel, hollow out kernels, and reduce them to dust.",Prostephanus truncatus,"Favored by poor storage conditions, high grain moisture, and late harvesting.","Bores through husks and cobs producing massive amounts of wood/grain dust, which distinguishes it from the smaller maize weevils.",FALSE,"Early harvesting, drying below 13% moisture content, storage in cleaned and dusted stores/bags, use of hermetic bags (Agro-Z bags), metallic silos, or chemical treatment with Super Actellic @ 50g per 90kg bag.",KCEP-CRAL Maize Extension Manual p. 14,,
MW,Maize Weevil,insect_pest,"Adults are small black beetles with a long, narrow snout. The female lays eggs inside the grain. The larva (grub) lives inside the grain, hollowing it out and leaving circular holes on the surface of the grain.",Sitophilus zeamais,Favored by warm temperatures and grains stored at high moisture levels.,"Leaves distinct circular exit holes on the grain surface, smaller than the destruction caused by Larger Grain Borer.",FALSE,"Early harvesting, drying below 13% moisture, storing in clean and dusted store and bags, hermetic bags or metallic silos, and grain treatment with Super Actellic.",KCEP-CRAL Maize Extension Manual p. 14,,
N_DEF,Nitrogen (N) Deficiency,nutrient_deficiency,"Makes the older leaves (the bottom portion of the maize plant) turn pale or yellowish-green. The deficiency then starts to create a V shape, starting at the tip of the leaf and running down the midrib. If not rectified, the deficiency works its way up the plant from older (lower) to newer leaves. The stalks tend to be thin and spindly.",,"Develops commonly in wet to saturated soils or under cool soil temperatures. N can leach out under heavy rainfall in light-textured (sandy) soils, or can be denitrified in flooded soils. Can be induced after midseason when soils tend to be dry, or in soils with large amounts of low-nitrogen-containing residues.","Nitrogen deficiency yellowing starts on older leaves and forms a V-shape down the midrib, whereas Sulfur deficiency causes a general yellowing that is more visible on newer leaves.",TRUE,"Apply nitrogenous fertilizers (like CAN top-dressing at 92kg/acre when knee-high, or urea), and add organic manure.",KALRO Disease Guide p. 33,,
P_DEF,Phosphorus (P) Deficiency,nutrient_deficiency,"Causes a distinct dark green color with reddish to purplish leaf margins, typically starting from the tip of the older leaves. Stunted growth is also typical. Symptoms normally disappear by the time the plant is waist-high.",,"Since P is fairly immobile in soil, any soil condition that limits root growth (cool temperature, wet or very dry conditions, compaction) can induce the deficiency. Acid soils fix phosphorus, making it unavailable.","Reddish-purple margins on older leaves, disappearing as the plant grows waist-high. Some hybrids show purple colors even when P is not deficient.",TRUE,"Apply basal phosphatic fertilizers (like DAP at 50kg/acre at planting), and manage soil acidity using lime or fertilizers with a liming effect (MEA Mazao, Mavuno basal).",KALRO Disease Guide p. 34,High deficiency symptoms observed in lower Eastern region of Kenya.,
K_DEF,Potassium (K) Deficiency,nutrient_deficiency,"Observed as yellowing and necrosis (death) of the edge of older leaves, starting from the tip. When the problem persists, this deficiency will continue to move up from older to newer leaves, while the top leaves may look completely green. Stalks are thin and not strong, causing lodging of the crop later in the season.",,"Soil conditions that restrict root growth can induce deficiency, especially at early stages when the root system is small. Soils with low K buffer capacity (sandy soils) can cause the deficiency.","Yellowing and necrosis are restricted to the edges (margins) of older leaves, unlike Nitrogen deficiency which yellowing is V-shaped down the midrib.",TRUE,Apply potassium-containing fertilizers (NPK) according to soil test recommendations.,KALRO Disease Guide p. 34,,
Mg_DEF,Magnesium (Mg) Deficiency,nutrient_deficiency,"Appears in lower leaves as yellow or white streaking between veins (interveinal chlorosis). The leaves eventually become reddish-purple, and the edge and tip die if the deficiency is severe.",,Acidic and sandy soils are most likely to be deficient in Mg.,"Characterized by white/yellow striping between veins on lower leaves, which eventually turn reddish-purple.",TRUE,Apply magnesium-rich fertilizers or dolomitic limestone to correct soil acidity and supply magnesium.,KALRO Disease Guide p. 36,,
S_DEF,Sulfur (S) Deficiency,nutrient_deficiency,"Causes a general yellowing of the foliage, tending to be more visible in the newer leaves.",,"Typically observed in soils with low organic matter (including sandy soils), low pH, and cold, wet conditions that reduce mineralization of S from organic matter.","Since S is not easily translocated, deficiency tends to be more visible in the newer leaves, as opposed to N deficiency which is more pronounced in older leaves.",TRUE,Apply sulfur-containing fertilizers (e.g. ammonium sulfate or gypsum). Grains will often recover once the root system reaches the S in the subsurface soil.,KALRO Disease Guide p. 36,,
Zn_DEF,Zinc (Zn) Deficiency,nutrient_deficiency,"Appears between veins as light green to white stripes or as wide bands starting at the base of the leaf and extending toward the tip of the newer leaves. The edge of the leaf as well as the midrib usually stays green. In cases of severe deficiency, new leaves are almost white.",,"Most commonly observed in soils low in organic matter, sandy soils with high pH (>7.3), and cool, wet soils.","Wide white/light green bands at the leaf base on newer leaves, with leaf edges and midrib remaining green. In severe cases, the entire leaf emerges white (white bud).",TRUE,Apply zinc sulfate or other zinc chelates as soil amendments or foliar sprays.,KALRO Disease Guide p. 36,,
Fe_DEF,Iron (Fe) Deficiency,nutrient_deficiency,"Interveinal chlorosis (yellowing between veins) on newer leaves, where veins remain green. In severe cases, leaves turn completely pale or white.",,Most common in soils containing calcium carbonate (alkaline/calcareous soils) or under high soil pH.,"Yellowing between veins on the youngest leaves, unlike Magnesium deficiency which occurs on older leaves.",TRUE,Apply foliar iron sprays or iron chelates to the soil.,KALRO Disease Guide p. 33,,
Mn_DEF,Manganese (Mn) Deficiency,nutrient_deficiency,"Interveinal chlorosis on newer leaves, similar to iron deficiency, but lesions can develop olive-green to grey specks or stripes.",,Most common in soils containing calcium carbonate (alkaline/calcareous soils) or poorly drained organic soils.,"Chlorosis is on newer leaves, often accompanied by olive-green/grey specks, distinguishing it from general nitrogen chlorosis.",TRUE,Apply manganese sulfate or manganese chelates.,KALRO Disease Guide p. 33,,
WFS,Waterlogging / Flooding Stress,physiological_disorder,"If maize stands in water for more than two days, it will wither and die off.",,"Waterlogged soils, poorly drained soils, or heavy flooding.","Causes rapid wilting and death, unlike drought which causes leaves to roll first and slowly wither.",TRUE,Avoid waterlogged soils. Ensure soils are well drained and well aerated.,KCEP-CRAL Maize Extension Manual p. 6,,
DMS,Drought / Moisture Stress,physiological_disorder,"Causes leaves to roll and plants to wilt. If drought occurs at flowering time, it will interfere with pollination and drastically lower the yields.",,"Erratic rainfall and poor distribution during the growing period, especially during the first five weeks after sowing and at flowering.",Causes leaves to roll tightly along the midrib to reduce water loss.,FALSE,Plant within the first two weeks of the onset of rains. Enhance crop water conservation.,KCEP-CRAL Maize Extension Manual p. 6,,
SAS,Soil Acidity / Acid Soil Stress,physiological_disorder,"Causes stunted growth, poor root development, and induces nutrient deficiencies (such as phosphorus and magnesium deficiencies).",,"Highly weathered soils, continuous cropping, or leaching under high rainfall. Strongly acidic soils (pH < 5.0).","Soil acidity limits phosphorus solubility, inducing typical purple leaf margin symptoms.",TRUE,"Liming is recommended for acid soils. Use fertilizers with a liming effect like MEA Mazao (100 kg/acre), Mavuno basal (100 kg/acre), and Mavuno for topdressing (75 kg/acre).",KALRO Disease Guide p. 33; KCEP-CRAL Maize Extension Manual p. 9,,
SC,Soil Compaction,physiological_disorder,"Restricts root growth, leading to stunted plants and inducing nutrient deficiencies.",,"Use of heavy farm machinery under wet soil conditions, or lack of deep tillage.","Limits the plant's small root system, making it unable to absorb immobile nutrients like Phosphorus.",TRUE,Deep tillage/ploughing to break the hardpan.,KALRO Disease Guide p. 34,,
CTS,Cold Stress / Low Temperature Stress,physiological_disorder,Extends the life cycle of the crop (longer maturity period). Can result in poor germination and stunted early growth.,,High altitudes or planting during cool/cold seasons.,Extends the vegetative growth stage.,FALSE,"Select adapted varieties for highland zones (e.g. H6213, H6210 which mature in 160-210 days).",KCEP-CRAL Maize Extension Manual p. 6,"Highland zones (Trans Nzoia, Nandi, Nakuru, Kakamega, Bungoma).",
HTS,Heat Stress / High Temperature Stress,physiological_disorder,Exposes the crop to excessive respiration and lowers yields. Accelerates water loss.,,"Low altitudes or hot, dry weather conditions.",Often occurs in combination with water stress.,FALSE,Select adapted drought-tolerant or early-maturing varieties.,KCEP-CRAL Maize Extension Manual p. 6,Moist mid-altitude or dry land zones.,
FROST,Frost,physiological_disorder,Causes freezing and death of plant tissues. Leaves turn brown and dry up rapidly.,,Temperatures falling below freezing point.,"Frost damage is sudden and uniform across the canopy, unlike diseases.",FALSE,Avoid planting in frost-prone areas or select resistant varieties.,FAO FAW Manual p. 17,,
PGLS,Physiological or Genetical Leaf Spots,physiological_disorder,"Non-infectious spots that appear on leaves. These can be chlorotic or necrotic spots, often appearing uniformly across the leaf blade.",,"Genetically controlled or physiological response, non-infectious.",Easily confused with eyespot of maize (Kabatiella zeae) or early spotting induced by Curvularia.,FALSE,Confirm deficiency or pathogen presence via laboratory analysis before treatment.,CIMMYT Maize Diseases Guide p. 38,,
MIKD,Mechanical Injury / Kernel Damage,physiological_disorder,"Damage or wounds on stalks, leaves, or kernels. Provides entry points for pathogens.",,"Farming operations, hail, wind, or feeding by insects like thrips or birds.","Physical cuts/scars on the plant tissue, which later rot.",FALSE,Avoid injuring the plants during mechanical operations. Control insects like thrips that damage developing kernels.,KALRO Disease Guide p. 22; KCEP-CRAL Maize Extension Manual p. 12,,
ALT,Altitude Stress,physiological_disorder,"If maize is planted in very low or very high altitudes that are outside its recommended zone, poor yields will be realized.",,Planting varieties outside their recommended agro-ecological altitudes.,"Causes poor growth, small ears, and low yield due to climate mismatch.",FALSE,"Select appropriate maize varieties recommended for the specific altitude zone (e.g. H6213 for highlands, WH509 for mid-altitude).",KCEP-CRAL Maize Extension Manual p. 6,Western Region implementing counties.,
